station,valid,lon,lat,tmpf,dwpf,drct,sknt,gust,vsby,alti,wxcodes
D57,2022-05-12 21:55,-101.8602,46.8128,55.40,55.40,40.00,25.00,32.00,1.00,29.56,-TSRA
GAF,2022-05-12 21:55,-97.3709,48.4047,66.20,57.20,40.00,19.00,,10.00,29.79,
GWR,2022-05-12 21:55,-97.6435,46.2187,64.40,64.40,80.00,17.00,23.00,7.00,29.62,
5H4,2022-05-12 21:55,-99.9317,47.7912,60.80,57.20,60.00,23.00,29.00,10.00,29.71,
D55,2022-05-12 21:55,-98.3937,48.7531,62.60,57.20,50.00,22.00,,10.00,29.83,
2D5,2022-05-12 21:55,-98.0799,46.1731,64.40,64.40,90.00,18.00,24.00,9.00,29.61,
S32,2022-05-12 21:55,-98.1059,47.4228,62.60,62.60,60.00,15.00,,10.00,29.76,
BWP,2022-05-12 21:55,-96.6074,46.2441,68.00,62.60,60.00,9.00,,10.00,29.64,
BTN,2022-05-12 21:55,-97.7428,45.8150,69.80,68.00,100.00,23.00,29.00,10.00,29.57,
MDS,2022-05-12 21:55,-97.0859,44.0160,86.00,66.20,160.00,15.00,22.00,10.00,29.56,
PHP,2022-05-12 21:55,-101.6000,44.0500,60.00,57.00,250.00,13.00,,10.00,29.66,
SPF,2022-05-12 21:55,-103.7830,44.4803,51.80,51.80,310.00,11.00,,10.00,29.75,
BVN,2022-05-12 21:55,-98.0558,41.7286,71.20,60.30,130.00,5.00,,10.00,29.62,
BTA,2022-05-12 21:55,-96.1090,41.4148,94.80,62.80,170.00,26.00,33.00,10.00,29.69,
OXV,2022-05-12 21:55,-93.1114,41.2984,91.40,66.20,170.00,17.00,27.00,9.00,29.82,
SGS,2022-05-12 21:55,-93.0329,44.8571,88.70,65.00,150.00,6.00,,10.00,29.74,
FET,2022-05-12 21:55,-96.5200,41.4500,95.00,62.00,170.00,16.00,30.00,10.00,29.67,
HDE,2022-05-12 21:55,-99.3365,40.4521,72.70,60.00,200.00,16.00,,10.00,29.65,VCTS
ROS,2022-05-12 21:55,-92.9530,45.6980,81.00,62.00,110.00,9.00,15.00,10.00,29.76,
TKC,2022-05-12 21:55,-95.6072,44.2491,93.60,56.00,180.00,18.00,27.00,10.00,29.61,
GGI,2022-05-12 21:55,-92.7332,41.7097,93.60,65.00,160.00,18.00,21.00,10.00,29.85,
PEA,2022-05-12 21:55,-92.9431,41.3989,92.50,65.00,160.00,16.00,24.00,10.00,29.83,
9V9,2022-05-12 21:55,-99.3183,43.7667,77.00,69.00,350.00,5.00,,10.00,29.48,-RA
AUH,2022-05-12 21:55,-97.9946,40.8941,88.20,64.00,180.00,23.00,31.00,10.00,29.66,TS
Y49,2022-05-12 21:55,-94.6453,47.1595,56.70,56.00,40.00,6.00,,10.00,29.80,VCTS
GRN,2022-05-12 21:55,-102.1753,42.8060,53.60,38.00,270.00,23.00,38.00,10.00,29.83,
BIE,2022-05-12 21:55,-96.7541,40.3013,93.60,62.00,180.00,14.00,21.00,10.00,29.69,
LXN,2022-05-12 21:55,-99.7759,40.7904,76.00,62.00,180.00,21.00,26.00,10.00,29.62,
9MN,2022-05-12 21:55,-92.4831,44.0198,94.00,54.00,130.00,17.00,26.00,10.00,29.81,
HON,2022-05-12 21:55,-98.2286,44.3852,85.00,67.00,150.00,12.00,21.00,10.00,29.46,TS
VTI,2022-05-12 21:55,-92.0248,42.2176,96.00,57.70,160.00,15.00,21.00,10.00,29.84,
D07,2022-05-12 21:56,-102.0200,45.0300,59.00,59.00,130.00,5.00,,,29.58,
GPZ,2022-05-12 21:56,-93.5097,47.2111,56.00,55.00,,6.00,,2.50,29.86,-TSRA BR
OTG,2022-05-12 21:56,-95.5792,43.6551,93.00,63.00,180.00,22.00,33.00,10.00,29.66,
OLU,2022-05-12 21:56,-97.3426,41.4480,90.00,68.00,170.00,15.00,27.00,10.00,29.62,
EAR,2022-05-12 21:56,-99.0068,40.7270,77.00,59.00,200.00,18.00,24.00,10.00,29.64,
OFK,2022-05-12 21:56,-97.4351,41.9855,64.00,61.00,360.00,4.00,,10.00,29.65,VCTS
GNA,2022-05-12 21:56,-90.3457,47.7453,49.00,46.00,80.00,14.00,,,29.85,
DIK,2022-05-12 21:56,-102.8019,46.7973,51.00,50.00,30.00,21.00,29.00,1.75,29.57,-RA BR
JMS,2022-05-12 21:56,-98.6800,46.9300,62.00,59.00,30.00,14.00,,1.50,29.67,-RA BR
CWI,2022-05-12 21:56,-90.3328,41.8295,93.00,68.00,180.00,18.00,21.00,10.00,29.91,
MML,2022-05-12 21:56,-95.8200,44.4500,88.00,75.00,120.00,13.00,,10.00,29.59,
RYM,2022-05-12 21:56,-94.3575,46.0895,77.50,64.80,120.00,16.00,22.00,10.00,29.72,
MIB,2022-05-12 21:56,-101.3580,48.4158,59.20,48.20,80.00,17.00,,10.00,29.71,
DVL,2022-05-12 21:56,-98.9083,48.1146,62.00,55.00,40.00,14.00,21.00,10.00,29.79,
RDR,2022-05-12 21:56,-97.4012,47.9611,63.70,57.40,70.00,14.00,,10.00,29.77,
BKX,2022-05-12 21:56,-96.8169,44.3048,87.00,68.00,160.00,16.00,21.00,10.00,29.58,
RCA,2022-05-12 21:56,-103.1036,44.1451,58.00,54.00,340.00,10.00,,10.00,29.66,
YKN,2022-05-12 21:56,-97.3859,42.9167,65.00,61.00,260.00,14.00,32.00,8.00,29.66,TSRA
2WX,2022-05-12 21:56,-103.5464,45.6044,52.00,51.00,300.00,15.00,,,29.66,
FRM,2022-05-12 21:56,-94.4156,43.6439,93.00,67.00,160.00,22.00,28.00,10.00,29.67,
TVF,2022-05-12 21:56,-96.1850,48.0657,64.00,58.00,70.00,16.00,,10.00,29.79,
MKT,2022-05-12 21:56,-93.9200,44.2200,95.00,65.00,160.00,22.00,31.00,10.00,29.69,
